job_id,machine_id,op_seq,A_lj,S_lj,C_lj,planned_C_lj,tidal_wait,PELABUHAN_LOGIS,congestion_wait,total_wait
22,4,2,132.0,132.0,135.0,135.0,0.0,SURABAYA,0.0,0.0
22,15,3,167.0,167.0,170.0,170.0,0.0,MAKASSAR,0.0,0.0
22,36,4,187.0,187.0,190.0,190.0,0.0,BAUBAU,0.0,0.0
22,34,5,204.0,204.0,206.0,206.0,0.0,MAUMERE,0.0,0.0
22,64,6,211.0,211.0,213.0,213.0,0.0,LARANTUKA,0.0,0.0
22,35,7,216.0,216.0,218.0,218.0,0.0,LEWOLEBA,0.0,0.0
22,11,8,226.0,226.0,230.0,230.0,0.0,KUPANG,0.0,0.0
22,35,9,238.0,238.0,240.0,240.0,0.0,LEWOLEBA,0.0,0.0
23,7,0,176.0,176.0,200.0,200.0,0.0,BENOA,0.0,0.0
23,55,1,206.0,206.0,208.0,208.0,0.0,LEMBAR,0.0,0.0
23,8,2,226.0,226.0,230.0,230.0,0.0,BIMA,0.0,0.0
23,14,3,237.0,237.0,240.0,240.0,0.0,LABUAN BAJO,0.0,0.0
23,15,4,258.0,258.0,263.0,263.0,0.0,MAKASSAR,0.0,0.0
23,36,5,284.0,284.0,286.0,286.0,0.0,BAUBAU,0.0,0.0
23,2,6,290.0,290.0,292.0,292.0,0.0,RAHA,0.0,0.0
23,0,7,298.0,298.0,302.0,302.0,0.0,KENDARI,0.0,0.0
23,78,8,319.0,319.0,322.0,322.0,0.0,LUWUK,0.0,0.0
23,79,9,333.0,333.0,335.0,335.0,0.0,GORONTALO,0.0,0.0
24,19,0,327.0,327.0,354.0,354.0,0.0,BATULICIN,0.0,0.0
24,15,1,384.0,384.0,392.0,392.0,0.0,MAKASSAR,0.0,0.0
24,14,2,416.0,416.0,417.0,417.0,0.0,LABUAN BAJO,0.0,0.0
24,8,3,426.0,426.0,427.0,427.0,0.0,BIMA,0.0,0.0
24,81,4,438.0,438.0,439.0,439.0,0.0,WAIKELO,0.0,0.0
24,9,5,448.0,448.0,452.0,452.0,0.0,WAINGAPU,0.0,0.0
24,10,6,463.0,463.0,465.0,465.0,0.0,ENDE,0.0,0.0
24,11,7,481.0,481.0,489.0,489.0,0.0,KUPANG,0.0,0.0
24,12,8,506.0,506.0,518.0,518.0,0.0,KALABAHI,0.0,0.0
24,11,9,534.0,534.0,542.0,542.0,0.0,KUPANG,0.0,0.0
